Id,LogPriceMo,TransactionPriceUSD,DomainMembershipCount,IsMultiDomain,Financial,Healthcare,MediaEntertainment,Telecom,Gaming,Automotive,Manufacturing,Resources,Retail,PublicSector,Others,History,people,entities,products,records,events,symbols,assets,requests,features,locations,area,USD,sources,Limitations,ProfServices,IdIndividuals,IdCompanies,NCountries,PercGDP,DelMethod,S3Bucket,Download,RESTAPI,UIExport,Email,FeedAPI,EnrichApp,StreamingAPI,yearly,semiannual,quarterly,monthly,weekly,daily,hourly,minutely,secondly,ondemand,realtime,sql,txt,csv,xls,json,xml,bin,pdf,shapefile,dbf,fgdb,tab,accdb,mapfiles,tableau,images,locationdata,Weight,units,United States of America,Canada,Spain,Mexico,Germany,France,United Kingdom,Netherlands,Russian Federation,Italy,China,Japan,Australia,New Zealand,Korea (Republic of),India,Brazil,Argentina,Colombia,Saudi Arabia,Israel,Egypt,Nigeria,South Africa,Indonesia,Singapore,Malaysia,Philippines,Thailand,Vietnam,Turkey,Hungary,Finland,Switzerland,Hong Kong,Chile,wordanalysi,wordanalyt,wordattribut,wordavail,wordbest,wordbusi,wordcase,wordcompani,wordconsum,wordcontact,wordcountri,wordcover,wordcoverag,wordcustom,worddetail,wordfile,wordglobal,wordinclud,wordindustri,wordinform,wordinsight,wordlead,wordlevel,wordlist,wordlocat,wordmanag,wordmarket,wordmillion,wordname,wordneed,wordoffer,wordprice,wordprovid,wordqualiti,wordreport,wordrequir,wordresearch,wordsale,wordsegment,wordservic,wordsourc,wordstate,wordstore,wordtime,wordtype,worduse,worduser,wordwebsit,wordworldwid,wordyear
118,3.6989700043360183,4999.9999999999945,1,0,1,0,0,0,0,0,0,0,0,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875,0.0,0.0,0.0,1.0,1,0.16094331555107,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3046423652338312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340714079750966,0.0,0.9014724397364636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1993766427365066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1.6901960800285136,48.99999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,365.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16094331555107,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0664251411897975,0.0,0.0622403581417366,0.0,0.0,0.0,0.5714553739912056,0.0,0.0,0.0,0.0,0.0,0.0,0.0576661550099501,0.0,0.0,0.0952292122861451,0.0,0.0,0.0,0.0625551355484429,0.3307716011594224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7332103186333365,0.0428746685019553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,3.3010299956639813,2000.0000000000002,1,0,1,0,0,0,0,0,0,0,0,0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16094331555107,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3046423652338312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2340714079750966,0.0,0.9014724397364636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1993766427365066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,3.6989700043360183,4999.9999999999945,2,1,1,0,0,1,0,0,0,0,0,0,0,4015.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7199347897389181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550618941103575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171999086198364,0.0,0.5113293398775017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2541329777925547,0.0,0.0,0.0,0.0,0.0,0.0
127,1.0,10.0,2,1,1,0,0,0,0,0,0,0,0,1,0,9855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16094331555107,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1085412744493595,0.0,0.0,0.0850063864557544,0.0292474596430495,0.0210570423157523,0.0294179134732929,0.390240013184785,0.0,0.0572529173378893,0.0,0.0,0.0,0.0,0.0525060331115085,0.8384795127737283,0.0,0.1083848093525668,0.0244867494257037,0.0629718153141457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313551481075008,0.0,0.0,0.0281836662098505,0.0,0.0585571926102975,0.0,0.0577306882017907,0.0,0.0643840853623941,0.0,0.0,0.0269333385092664,0.1190174363757854,0.0,0.0,0.0,0.2665960684691114,0.0258521547325979,0.0,0.0324975614693997,0.0,0.0278069209439085
129,2.3483048630481607,223.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0144917051122692,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2740116057733647,0.0,0.0603012118885522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410959796799719,0.0,0.0,0.0,0.0,0.0,0.2431642919146459,0.0,0.0,0.0,0.0,0.0,0.0,0.0890527141815207,0.0,0.0616749301760995,0.0,0.8208596770007376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087862301683822
130,2.3483048630481607,223.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0144917051122692,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2740116057733647,0.0,0.0603012118885522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410959796799719,0.0,0.0,0.0,0.0,0.0,0.2431642919146459,0.0,0.0,0.0,0.0,0.0,0.0,0.0890527141815207,0.0,0.0616749301760995,0.0,0.8208596770007376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087862301683822
132,1.0,10.0,2,1,1,0,0,0,0,0,0,0,0,1,0,9855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16094331555107,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1085412744493595,0.0,0.0,0.0850063864557544,0.0292474596430495,0.0210570423157523,0.0294179134732929,0.390240013184785,0.0,0.0572529173378893,0.0,0.0,0.0,0.0,0.0525060331115085,0.8384795127737283,0.0,0.1083848093525668,0.0244867494257037,0.0629718153141457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313551481075008,0.0,0.0,0.0281836662098505,0.0,0.0585571926102975,0.0,0.0577306882017907,0.0,0.0643840853623941,0.0,0.0,0.0269333385092664,0.1190174363757854,0.0,0.0,0.0,0.2665960684691114,0.0258521547325979,0.0,0.0324975614693997,0.0,0.0278069209439085
138,1.0,10.0,2,1,1,0,0,0,0,0,0,0,0,1,0,9855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.16094331555107,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1085412744493595,0.0,0.0,0.0850063864557544,0.0292474596430495,0.0210570423157523,0.0294179134732929,0.390240013184785,0.0,0.0572529173378893,0.0,0.0,0.0,0.0,0.0525060331115085,0.8384795127737283,0.0,0.1083848093525668,0.0244867494257037,0.0629718153141457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313551481075008,0.0,0.0,0.0281836662098505,0.0,0.0585571926102975,0.0,0.0577306882017907,0.0,0.0643840853623941,0.0,0.0,0.0269333385092664,0.1190174363757854,0.0,0.0,0.0,0.2665960684691114,0.0258521547325979,0.0,0.0324975614693997,0.0,0.0278069209439085
148,3.1638568026386698,1458.3333333333337,2,1,1,0,0,0,0,0,1,0,0,0,0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1833333333333334e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1833333333333334e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1760563055962974,0.2943056649234457,0.0,0.0,0.0,0.0,0.0715747422913652,0.0,0.2228190997242922,0.0928654759422577,0.0,0.0702690541802919,0.0,0.1589123136727681,0.0,0.0,0.0651213319805848,0.1054815094857283,0.0,0.0510708263614194,0.4784491917328132,0.0,0.0,0.0,0.3741784713287518,0.0,0.0,0.0,0.0,0.0717909533292289,0.0,0.0,0.0949810387740534,0.0,0.0702303229985637,0.0,0.0,0.0767928519764927,0.0,0.0,0.2895733018084181,0.0,0.0,0.4380448682409265,0.0,0.0,0.3180611444017423,0.0,0.0,0.0
