product_id,controlled_condition_present_audit_only,observable_readiness_level,buyer_initial_patience,seller_initial_patience
130,False,not_applicable,8,7
282,False,not_applicable,7,6
284,False,not_applicable,7,6
307,False,not_applicable,7,7
327,False,not_applicable,7,7
463,False,not_applicable,6,8
467,False,not_applicable,8,8
496,False,not_applicable,8,8
538,False,not_applicable,8,6
551,False,not_applicable,6,6
586,False,not_applicable,8,8
600,False,not_applicable,8,7
680,False,not_applicable,6,6
681,False,not_applicable,7,7
686,False,not_applicable,6,8
771,False,not_applicable,7,7
800,False,not_applicable,7,8
814,False,not_applicable,6,8
877,False,not_applicable,8,7
892,False,not_applicable,7,6
921,False,not_applicable,7,6
965,False,not_applicable,7,6
993,False,not_applicable,8,8
1011,False,not_applicable,7,6
1075,False,not_applicable,6,7
1155,False,not_applicable,7,8
1178,False,not_applicable,6,8
1214,False,not_applicable,8,7
1240,False,not_applicable,7,8
1271,False,not_applicable,8,8
1307,False,not_applicable,6,7
1400,False,not_applicable,7,7
1404,False,not_applicable,8,8
1420,False,not_applicable,8,7
1442,False,not_applicable,7,8
1502,False,not_applicable,6,8
1512,False,not_applicable,8,8
1543,False,not_applicable,7,6
1566,False,not_applicable,7,6
1582,False,not_applicable,7,6
1590,False,not_applicable,6,7
1592,False,not_applicable,6,6
1645,False,not_applicable,6,7
1708,False,not_applicable,7,6
1766,False,not_applicable,7,7
1797,False,not_applicable,7,6
1842,False,not_applicable,6,6
1847,False,not_applicable,7,7
1858,False,not_applicable,7,8
1930,False,not_applicable,6,6
1946,False,not_applicable,7,8
2006,False,not_applicable,8,7
2031,False,not_applicable,6,6
2041,False,not_applicable,6,7
2062,False,not_applicable,7,6
2230,False,not_applicable,7,7
2336,False,not_applicable,6,8
2357,False,not_applicable,8,8
2366,False,not_applicable,7,8
2377,False,not_applicable,6,7
2406,False,not_applicable,8,6
2424,False,not_applicable,6,6
2434,False,not_applicable,8,8
2510,False,not_applicable,6,6
2511,False,not_applicable,6,6
2520,False,not_applicable,7,6
2522,False,not_applicable,8,8
2537,False,not_applicable,8,8
2564,False,not_applicable,7,6
2731,False,not_applicable,8,6
2762,False,not_applicable,7,6
2771,False,not_applicable,7,6
2818,False,not_applicable,8,6
2826,False,not_applicable,7,7
2830,False,not_applicable,8,8
2864,False,not_applicable,6,7
2927,False,not_applicable,6,8
2942,False,not_applicable,6,6
2949,False,not_applicable,6,8
3005,False,not_applicable,7,6
3079,False,not_applicable,6,7
3086,False,not_applicable,8,8
3088,False,not_applicable,7,6
3158,False,not_applicable,8,7
3183,False,not_applicable,8,7
3469,False,not_applicable,8,7
3634,False,not_applicable,8,7
3698,False,not_applicable,7,8
3708,False,not_applicable,6,7
3921,False,not_applicable,7,7
4018,False,not_applicable,6,8
4046,False,not_applicable,6,7
4076,False,not_applicable,8,7
4195,False,not_applicable,7,8
4323,False,not_applicable,8,8
4374,False,not_applicable,6,6
4411,False,not_applicable,8,6
4505,False,not_applicable,8,6
4704,False,not_applicable,7,6
4714,False,not_applicable,8,8
4720,False,not_applicable,8,7
4818,False,not_applicable,7,8
4855,False,not_applicable,6,8
4868,False,not_applicable,7,7
4871,False,not_applicable,6,8
4908,False,not_applicable,6,7
4927,False,not_applicable,7,8
4930,False,not_applicable,6,8
4950,False,not_applicable,8,7
4975,False,not_applicable,8,6
5000,False,not_applicable,8,6
5030,False,not_applicable,6,8
5097,False,not_applicable,7,7
5100,False,not_applicable,8,6
5123,False,not_applicable,8,8
5127,False,not_applicable,7,8
5238,False,not_applicable,8,7
5248,False,not_applicable,6,8
5280,False,not_applicable,6,7
5298,False,not_applicable,7,7
5312,False,not_applicable,8,6
5315,False,not_applicable,6,7
5333,False,not_applicable,7,6
5336,False,not_applicable,8,7
5366,False,not_applicable,7,7
5371,False,not_applicable,6,8
5387,False,not_applicable,6,7
5400,False,not_applicable,7,8
5402,False,not_applicable,7,6
5436,False,not_applicable,6,8
5438,False,not_applicable,6,8
5514,False,not_applicable,6,6
5564,False,not_applicable,8,6
5822,False,not_applicable,6,7
5835,False,not_applicable,8,6
5924,False,not_applicable,7,6
6022,False,not_applicable,6,7
6029,False,not_applicable,7,7
6044,False,not_applicable,7,7
6063,False,not_applicable,7,7
6136,False,not_applicable,8,8
6139,False,not_applicable,8,8
6140,False,not_applicable,7,6
6333,False,not_applicable,7,7
6427,False,not_applicable,6,7
6451,False,not_applicable,7,6
6551,False,not_applicable,7,6
6552,False,not_applicable,8,6
6574,False,not_applicable,6,6
6587,False,not_applicable,7,6
6598,False,not_applicable,7,8
6606,False,not_applicable,6,6
6696,False,not_applicable,7,6
6748,False,not_applicable,6,8
6776,False,not_applicable,8,6
6780,False,not_applicable,8,6
6816,False,not_applicable,6,6
6821,False,not_applicable,8,8
6829,False,not_applicable,7,8
8378,False,not_applicable,8,6
