Id,honest_split,factor,outcome,effect
125,telecom_v2_development,coverage_strength,deal,0.0
125,telecom_v2_development,coverage_strength,buyer_initial_quote_log10,0.05239968145637075
125,telecom_v2_development,coverage_strength,terminal_quote_log10,0.03597522012593135
125,telecom_v2_development,coverage_strength,action_count,-2.0
125,telecom_v2_development,coverage_strength,seller_concession_ratio,-0.07330246913580248
125,telecom_v2_development,verification_gap,deal,0.0
125,telecom_v2_development,verification_gap,buyer_initial_quote_log10,0.0
125,telecom_v2_development,verification_gap,terminal_quote_log10,0.009984220906600783
125,telecom_v2_development,verification_gap,action_count,0.0
125,telecom_v2_development,verification_gap,seller_concession_ratio,-0.019290123456790126
192,telecom_v2_development,coverage_limitation,deal,0.0
192,telecom_v2_development,coverage_limitation,buyer_initial_quote_log10,0.0
192,telecom_v2_development,coverage_limitation,terminal_quote_log10,0.011899223299707717
192,telecom_v2_development,coverage_limitation,action_count,0.0
192,telecom_v2_development,coverage_limitation,seller_concession_ratio,-0.025920165889061687
192,telecom_v2_development,coverage_strength,deal,0.0
192,telecom_v2_development,coverage_strength,buyer_initial_quote_log10,0.0
192,telecom_v2_development,coverage_strength,terminal_quote_log10,0.0
192,telecom_v2_development,coverage_strength,action_count,0.0
192,telecom_v2_development,coverage_strength,seller_concession_ratio,0.0
192,telecom_v2_development,verification_gap,deal,0.0
192,telecom_v2_development,verification_gap,buyer_initial_quote_log10,0.0
192,telecom_v2_development,verification_gap,terminal_quote_log10,0.0
192,telecom_v2_development,verification_gap,action_count,0.0
192,telecom_v2_development,verification_gap,seller_concession_ratio,0.0
197,telecom_v2_development,coverage_limitation,deal,0.0
197,telecom_v2_development,coverage_limitation,buyer_initial_quote_log10,0.0
197,telecom_v2_development,coverage_limitation,terminal_quote_log10,0.0
197,telecom_v2_development,coverage_limitation,action_count,0.0
197,telecom_v2_development,coverage_limitation,seller_concession_ratio,0.0
197,telecom_v2_development,governance_risk,deal,0.0
197,telecom_v2_development,governance_risk,buyer_initial_quote_log10,0.0
197,telecom_v2_development,governance_risk,terminal_quote_log10,0.0
197,telecom_v2_development,governance_risk,action_count,0.0
197,telecom_v2_development,governance_risk,seller_concession_ratio,0.0
197,telecom_v2_development,verification_gap,deal,0.0
197,telecom_v2_development,verification_gap,buyer_initial_quote_log10,0.0
197,telecom_v2_development,verification_gap,terminal_quote_log10,0.012234456417011597
197,telecom_v2_development,verification_gap,action_count,0.0
197,telecom_v2_development,verification_gap,seller_concession_ratio,-0.023493480559144825
221,telecom_v2_development,coverage_limitation,deal,0.0
221,telecom_v2_development,coverage_limitation,buyer_initial_quote_log10,0.0
221,telecom_v2_development,coverage_limitation,terminal_quote_log10,-0.0365362557538953
221,telecom_v2_development,coverage_limitation,action_count,0.0
221,telecom_v2_development,coverage_limitation,seller_concession_ratio,0.07581480184977063
221,telecom_v2_development,verification_gap,deal,0.0
221,telecom_v2_development,verification_gap,buyer_initial_quote_log10,0.0
221,telecom_v2_development,verification_gap,terminal_quote_log10,-0.008600171761917963
221,telecom_v2_development,verification_gap,action_count,0.0
221,telecom_v2_development,verification_gap,seller_concession_ratio,0.018424010170053615
239,telecom_v2_development,coverage_strength,deal,0.0
239,telecom_v2_development,coverage_strength,buyer_initial_quote_log10,0.034571165617796495
239,telecom_v2_development,coverage_strength,terminal_quote_log10,0.0483046795745552
239,telecom_v2_development,coverage_strength,action_count,-2.0
239,telecom_v2_development,coverage_strength,seller_concession_ratio,-0.0938526513374003
252,telecom_v2_development,coverage_strength,deal,0.0
252,telecom_v2_development,coverage_strength,buyer_initial_quote_log10,0.0
252,telecom_v2_development,coverage_strength,terminal_quote_log10,-0.013788284485633184
252,telecom_v2_development,coverage_strength,action_count,0.0
252,telecom_v2_development,coverage_strength,seller_concession_ratio,0.025673940949935803
256,telecom_v2_development,coverage_limitation,deal,0.0
256,telecom_v2_development,coverage_limitation,buyer_initial_quote_log10,0.0
256,telecom_v2_development,coverage_limitation,terminal_quote_log10,-0.0019448127435373053
256,telecom_v2_development,coverage_limitation,action_count,-2.0
256,telecom_v2_development,coverage_limitation,seller_concession_ratio,0.003628196268140982
256,telecom_v2_development,integration_burden,deal,0.0
256,telecom_v2_development,integration_burden,buyer_initial_quote_log10,0.0
256,telecom_v2_development,integration_burden,terminal_quote_log10,0.013502470403647049
256,telecom_v2_development,integration_burden,action_count,0.0
256,telecom_v2_development,integration_burden,seller_concession_ratio,-0.025915687629578438
256,telecom_v2_development,verification_gap,deal,0.0
256,telecom_v2_development,verification_gap,buyer_initial_quote_log10,-0.034227260770550494
256,telecom_v2_development,verification_gap,terminal_quote_log10,-0.043465693781090664
256,telecom_v2_development,verification_gap,action_count,2.0
256,telecom_v2_development,verification_gap,seller_concession_ratio,0.08638562543192814
333,telecom_v2_development,verification_gap,deal,0.0
333,telecom_v2_development,verification_gap,buyer_initial_quote_log10,-0.03221570329798151
333,telecom_v2_development,verification_gap,terminal_quote_log10,-0.052182168576555554
333,telecom_v2_development,verification_gap,action_count,2.0
